               data_ora        rad  temperatura
2023-04-06 23:07:57.986  -5.677312        40.38
2023-04-06 23:07:58.195  -5.542757        40.38
2023-04-06 23:07:58.403  -5.828687        40.38
2023-04-06 23:07:58.611  -5.576396        40.38
2023-04-06 23:07:58.787  -5.811867        40.38
2023-04-06 23:07:58.994  -5.710951        40.35
2023-04-06 23:07:59.204  -5.727770        40.38
2023-04-06 23:07:59.412  -5.391383        40.35
2023-04-06 23:07:59.619  -5.643673        40.35
2023-04-06 23:07:59.817  -5.576396        40.35
2023-04-06 23:08:00.020  -5.593215        40.35
2023-04-06 23:08:00.229  -5.744590        40.35
2023-04-06 23:08:00.436  -6.013700        40.35
2023-04-06 23:08:00.659  -5.929603        40.35
2023-04-06 23:08:00.868  -5.929603        40.35
2023-04-06 23:08:01.061  -5.828687        40.35
2023-04-06 23:08:01.267  -5.980061        40.35
2023-04-06 23:08:01.488  -5.643673        40.35
2023-04-06 23:08:01.700  -5.862325        40.35
2023-04-06 23:08:01.910  -6.080977        40.35
2023-04-06 23:08:02.118  -5.963242        40.35
2023-04-06 23:08:02.326  -5.778228        40.35
2023-04-06 23:08:02.533  -5.761409        40.35
2023-04-06 23:08:02.709  -5.811867        40.35
2023-04-06 23:08:02.918  -6.114616        40.35
2023-04-06 23:08:03.127  -5.862325        40.35
2023-04-06 23:08:03.335  -6.165074        40.35
2023-04-06 23:08:03.540  -6.030519        40.35
2023-04-06 23:08:03.735  -6.064158        40.35
2023-04-06 23:08:03.943  -6.114616        40.35
2023-04-06 23:08:04.152  -5.963242        40.35
2023-04-06 23:08:04.360  -5.677312        40.35
2023-04-06 23:08:04.568  -5.778228        40.35
2023-04-06 23:08:04.776  -5.677312        40.35
2023-04-06 23:08:04.984  -5.492299        40.35
2023-04-06 23:08:05.192  -5.441841        40.35
2023-04-06 23:08:05.410  -5.576396        40.35
2023-04-06 23:08:05.625  -6.013700        40.35
2023-04-06 23:08:05.833  -5.778228        40.35
2023-04-06 23:08:06.041  -5.710951        40.35
2023-04-06 23:08:06.250  -5.441841        40.35
2023-04-06 23:08:06.458  -5.862325        40.35
2023-04-06 23:08:06.634  -5.929603        40.35
2023-04-06 23:08:06.842  -6.030519        40.35
2023-04-06 23:08:07.049  -5.761409        40.35
2023-04-06 23:08:07.259  -5.811867        40.35
2023-04-06 23:08:07.459  -5.643673        40.35
2023-04-06 23:08:07.659  -5.593215        40.35
2023-04-06 23:08:07.868  -5.643673        40.35
2023-04-06 23:08:08.076  -5.643673        40.35
2023-04-06 23:08:08.284  -5.324105        40.35
2023-04-06 23:08:08.492  -5.425021        40.35
2023-04-06 23:08:08.700  -5.458660        40.35
2023-04-06 23:08:08.908  -5.475479        40.35
2023-04-06 23:08:09.117  -5.677312        40.35
2023-04-06 23:08:09.329  -5.189550        40.35
2023-04-06 23:08:09.546  -5.105453        40.35
2023-04-06 23:08:09.757  -5.038175        40.35
2023-04-06 23:08:09.965  -5.054995        40.38
2023-04-06 23:08:10.174  -4.886801        40.35
2023-04-06 23:08:10.382  -4.617691        40.38
2023-04-06 23:08:10.558  -5.071814        40.38
2023-04-06 23:08:10.766  -4.550413        40.38
2023-04-06 23:08:10.974  -4.701788        40.38
2023-04-06 23:08:11.181  -4.516774        40.35
2023-04-06 23:08:11.380  -4.617691        40.35
2023-04-06 23:08:11.583  -4.987717        40.35
2023-04-06 23:08:11.790  -5.038175        40.35
2023-04-06 23:08:11.999  -5.408202        40.35
2023-04-06 23:08:12.207  -5.088634        40.35
2023-04-06 23:08:12.415  -5.155911        40.35
