data_ora;rad;temperatura;elevazione;;;;
2023-03-01 03:18:11.097;3312;40.29;40;;;;
2023-03-01 03:18:11.284;3306;40.29;40;;;;
2023-03-01 03:18:11.487;3320;40.29;40;;;;
2023-03-01 03:18:11.691;3311;40.29;40;;;;
2023-03-01 03:18:11.909;3306;40.29;40;;;;
2023-03-01 03:18:12.112;3311;40.29;40;;;;
2023-03-01 03:18:12.331;3322;40.29;40;;;;
2023-03-01 03:18:12.550;3301;40.29;40;;;;
2023-03-01 03:18:12.753;3322;40.29;40;;;;
2023-03-01 03:18:12.956;3308;40.26;40;;;;
2023-03-01 03:18:13.175;3321;40.26;40;;;;
2023-03-01 03:18:13.378;3316;40.26;40;;;;
2023-03-01 03:18:13.581;3307;40.26;40;;;;
2023-03-01 03:18:13.800;3319;40.26;40;;;;
2023-03-01 03:18:13.972;3300;40.26;40;;;;
2023-03-01 03:18:14.175;3305;40.26;40;;;;
2023-03-01 03:18:14.393;3309;40.26;40;;;;
2023-03-01 03:18:14.597;3304;40.26;40;;;;
2023-03-01 03:18:14.800;3289;40.26;40;;;;
2023-03-01 03:18:15.003;3314;40.26;40;;;;
2023-03-01 03:18:15.206;3305;40.26;40;;;;
2023-03-01 03:18:15.409;3300;40.26;40;;;;
2023-03-01 03:18:15.628;3319;40.26;40;;;;
2023-03-01 03:18:15.831;3304;40.26;40;;;;
2023-03-01 03:18:16.034;3316;40.26;40;;;;
2023-03-01 03:18:16.237;3300;40.26;40;;;;
2023-03-01 03:18:16.456;3300;40.26;40;;;;
2023-03-01 03:18:16.675;3309;40.26;40;;;;
2023-03-01 03:18:16.893;3310;40.26;40;;;;
2023-03-01 03:18:17.096;3297;40.22;40;;;;
2023-03-01 03:18:17.300;3302;40.22;40;;;;
2023-03-01 03:18:17.518;3305;40.22;40;;;;
2023-03-01 03:18:17.721;3311;40.22;40;;;;
2023-03-01 03:18:17.893;3315;40.22;40;;;;
2023-03-01 03:18:18.096;3309;40.22;40;;;;
2023-03-01 03:18:18.315;3297;40.22;40;;;;
2023-03-01 03:18:18.518;3299;40.22;40;;;;
2023-03-01 03:18:18.721;3307;40.22;40;;;;
2023-03-01 03:18:18.924;3307;40.22;40;;;;
2023-03-01 03:18:19.128;3293;40.22;40;;;;
2023-03-01 03:18:19.331;3296;40.22;40;;;;
2023-03-01 03:18:19.534;3298;40.22;40;;;;
2023-03-01 03:18:19.753;3317;40.22;40;;;;
2023-03-01 03:18:19.956;3296;40.22;40;;;;
2023-03-01 03:18:20.174;3322;40.22;40;;;;
2023-03-01 03:18:20.378;3325;40.22;40;;;;
2023-03-01 03:18:20.596;3306;40.22;40;;;;
2023-03-01 03:18:20.799;3316;40.19;40;;;;
2023-03-01 03:18:21.018;3303;40.19;40;;;;
2023-03-01 03:18:21.221;3330;40.19;40;;;;
2023-03-01 03:18:21.424;3308;40.19;40;;;;
2023-03-01 03:18:21.628;3317;40.19;40;;;;
2023-03-01 03:18:21.815;3296;40.19;40;;;;
2023-03-01 03:18:22.018;3304;40.19;40;;;;
2023-03-01 03:18:22.221;3309;40.19;40;;;;
2023-03-01 03:18:22.424;3294;40.19;40;;;;
2023-03-01 03:18:22.643;3292;40.19;40;;;;
2023-03-01 03:18:22.846;3296;40.19;40;;;;
2023-03-01 03:18:23.049;3292;40.19;40;;;;
2023-03-01 03:18:23.252;3318;40.19;40;;;;
2023-03-01 03:18:23.456;3314;40.19;40;;;;
2023-03-01 03:18:23.659;3328;40.19;40;;;;
2023-03-01 03:18:23.877;3323;40.19;40;;;;
2023-03-01 03:18:24.096;3338;40.19;40;;;;
2023-03-01 03:18:24.299;3323;40.19;40;;;;
2023-03-01 03:18:24.518;3327;40.19;40;;;;
2023-03-01 03:18:24.721;3332;40.19;40;;;;
2023-03-01 03:18:24.924;3307;40.19;40;;;;
2023-03-01 03:18:25.127;3315;40.19;40;;;;
2023-03-01 03:18:25.346;3324;40.19;40;;;;
2023-03-01 03:18:25.565;3305;40.19;40;;;;
2023-03-01 03:18:25.737;3308;40.19;40;;;;
2023-03-01 03:18:25.940;3316;40.19;40;;;;
2023-03-01 03:18:26.159;3327;40.19;40;;;;
2023-03-01 03:18:26.362;3337;40.19;40;;;;
2023-03-01 03:18:26.565;3343;40.19;40;;;;
2023-03-01 03:18:26.768;3319;40.19;40;;;;
2023-03-01 03:18:26.987;3323;40.19;40;;;;
2023-03-01 03:18:27.190;3313;40.19;40;;;;
2023-03-01 03:18:27.393;3310;40.19;40;;;;
2023-03-01 03:18:27.596;3334;40.19;40;;;;
2023-03-01 03:18:27.799;3318;40.19;40;;;;
2023-03-01 03:18:28.018;3339;40.19;40;;;;
2023-03-01 03:18:28.237;3339;40.19;40;;;;
2023-03-01 03:18:28.440;3328;40.19;40;;;;
2023-03-01 03:18:28.643;3319;40.19;40;;;;
2023-03-01 03:18:28.862;3318;40.19;40;;;;
2023-03-01 03:18:29.065;3318;40.19;40;;;;
2023-03-01 03:18:29.268;3322;40.19;40;;;;
2023-03-01 03:18:29.486;3335;40.19;40;;;;
2023-03-01 03:18:29.658;3310;40.19;40;;;;
2023-03-01 03:18:29.861;3319;40.22;40;;;;
2023-03-01 03:18:30.065;3296;40.22;40;;;;
2023-03-01 03:18:30.283;3319;40.22;40;;;;
2023-03-01 03:18:30.486;3334;40.22;40;;;;
2023-03-01 03:18:30.690;3314;40.22;40;;;;
2023-03-01 03:18:30.908;3318;40.22;40;;;;
2023-03-01 03:18:31.111;3323;40.22;40;;;;
2023-03-01 03:18:31.315;3325;40.22;40;;;;
2023-03-01 03:18:31.518;3337;40.22;40;;;;
2023-03-01 03:18:31.721;3324;40.22;40;;;;
2023-03-01 03:18:31.940;3328;40.22;40;;;;
2023-03-01 03:18:32.158;3341;40.26;40;;;;
2023-03-01 03:18:32.361;3327;40.26;40;;;;
2023-03-01 03:18:32.580;3332;40.26;40;;;;
2023-03-01 03:18:32.783;3333;40.26;40;;;;
2023-03-01 03:18:32.986;3323;40.26;40;;;;
2023-03-01 03:18:33.189;3325;40.26;40;;;;
2023-03-01 03:18:33.408;3309;40.26;40;;;;
2023-03-01 03:18:33.611;3327;40.26;40;;;;
2023-03-01 03:18:33.783;3332;40.26;40;;;;
2023-03-01 03:18:34.002;3321;40.26;40;;;;
2023-03-01 03:18:34.205;3329;40.29;40;;;;
2023-03-01 03:18:34.408;3321;40.29;40;;;;
2023-03-01 03:18:34.627;3322;40.29;40;;;;
2023-03-01 03:18:34.814;3319;40.29;40;;;;
2023-03-01 03:18:35.017;3328;40.29;40;;;;
2023-03-01 03:18:35.221;3324;40.29;40;;;;
2023-03-01 03:18:35.439;3317;40.29;40;;;;
2023-03-01 03:18:35.643;3314;40.29;40;;;;
2023-03-01 03:18:35.846;3310;40.29;40;;;;
2023-03-01 03:18:36.064;3317;40.29;40;;;;
2023-03-01 03:18:36.283;3330;40.29;40;;;;
2023-03-01 03:18:36.486;3324;40.29;40;;;;
2023-03-01 03:18:36.705;3315;40.32;40;;;;
2023-03-01 03:18:36.908;3329;40.32;40;;;;
2023-03-01 03:18:37.111;3311;40.32;40;;;;
2023-03-01 03:18:37.330;3310;40.32;40;;;;
2023-03-01 03:18:37.502;3317;40.32;40;;;;
2023-03-01 03:18:37.721;3307;40.32;40;;;;
2023-03-01 03:18:37.924;3311;40.32;40;;;;
2023-03-01 03:18:38.127;3314;40.32;40;;;;
2023-03-01 03:18:38.330;3305;40.32;40;;;;
2023-03-01 03:18:38.533;3304;40.32;40;;;;
2023-03-01 03:18:38.736;3295;40.32;40;;;;
2023-03-01 03:18:38.939;3303;40.32;40;;;;
2023-03-01 03:18:39.158;3315;40.35;40;;;;
2023-03-01 03:18:39.361;3287;40.35;40;;;;
2023-03-01 03:18:39.564;3309;40.35;40;;;;
2023-03-01 03:18:39.783;3300;40.35;40;;;;
2023-03-01 03:18:39.986;3307;40.35;40;;;;
2023-03-01 03:18:40.205;3310;40.35;40;;;;
2023-03-01 03:18:40.423;3305;40.35;40;;;;
2023-03-01 03:18:40.627;3306;40.35;40;;;;
2023-03-01 03:18:40.830;3300;40.35;40;;;;
2023-03-01 03:18:41.048;3290;40.35;40;;;;
2023-03-01 03:18:41.252;3304;40.38;40;;;;
2023-03-01 03:18:41.423;3316;40.38;40;;;;
2023-03-01 03:18:41.627;3312;40.38;40;;;;
2023-03-01 03:18:41.845;3310;40.38;40;;;;
2023-03-01 03:18:42.048;3308;40.38;40;;;;
2023-03-01 03:18:42.252;3295;40.38;40;;;;
2023-03-01 03:18:42.455;3305;40.38;40;;;;
2023-03-01 03:18:42.658;3307;40.38;40;;;;
2023-03-01 03:18:42.877;3315;40.38;40;;;;
2023-03-01 03:18:43.080;3292;40.38;40;;;;
2023-03-01 03:18:43.283;3309;40.38;40;;;;
2023-03-01 03:18:43.501;3319;40.38;40;;;;
2023-03-01 03:18:43.705;3307;40.38;40;;;;
2023-03-01 03:18:43.908;3309;40.38;40;;;;
2023-03-01 03:18:44.126;3326;40.38;40;;;;
