data_ora,rad,temperatura,elevazione
2023-03-01 02:07:02.454,4729,40.26,25
2023-03-01 02:07:02.625,4735,40.26,25
2023-03-01 02:07:02.828,4730,40.26,25
2023-03-01 02:07:03.032,4724,40.26,25
2023-03-01 02:07:03.250,4728,40.26,25
2023-03-01 02:07:03.453,4728,40.26,25
2023-03-01 02:07:03.657,4713,40.26,25
2023-03-01 02:07:03.860,4737,40.26,25
2023-03-01 02:07:04.063,4736,40.26,25
2023-03-01 02:07:04.266,4743,40.26,25
2023-03-01 02:07:04.485,4768,40.26,25
2023-03-01 02:07:04.688,4768,40.26,25
2023-03-01 02:07:04.891,4749,40.26,25
2023-03-01 02:07:05.110,4760,40.26,25
2023-03-01 02:07:05.313,4771,40.26,25
2023-03-01 02:07:05.547,4774,40.26,25
2023-03-01 02:07:05.750,4763,40.26,25
2023-03-01 02:07:05.953,4793,40.26,25
2023-03-01 02:07:06.156,4793,40.26,25
2023-03-01 02:07:06.360,4800,40.26,25
2023-03-01 02:07:06.578,4816,40.26,25
2023-03-01 02:07:06.750,4791,40.26,25
2023-03-01 02:07:06.969,4796,40.26,25
2023-03-01 02:07:07.172,4815,40.26,25
2023-03-01 02:07:07.375,4805,40.26,25
2023-03-01 02:07:07.563,4800,40.29,25
2023-03-01 02:07:07.776,4816,40.29,25
2023-03-01 02:07:07.979,4832,40.29,25
2023-03-01 02:07:08.198,4815,40.29,25
2023-03-01 02:07:08.401,4823,40.29,25
2023-03-01 02:07:08.604,4820,40.29,25
2023-03-01 02:07:08.823,4819,40.29,25
2023-03-01 02:07:09.026,4816,40.29,25
2023-03-01 02:07:09.229,4822,40.29,25
2023-03-01 02:07:09.448,4805,40.29,25
2023-03-01 02:07:09.666,4818,40.29,25
2023-03-01 02:07:09.870,4794,40.29,25
2023-03-01 02:07:10.088,4828,40.29,25
2023-03-01 02:07:10.291,4801,40.26,25
2023-03-01 02:07:10.510,4804,40.29,25
2023-03-01 02:07:10.682,4798,40.29,25
2023-03-01 02:07:10.885,4794,40.29,25
2023-03-01 02:07:11.088,4792,40.29,25
2023-03-01 02:07:11.291,4796,40.29,25
2023-03-01 02:07:11.494,4792,40.29,25
2023-03-01 02:07:11.697,4815,40.29,25
2023-03-01 02:07:11.916,4816,40.26,25
2023-03-01 02:07:12.119,4784,40.26,25
2023-03-01 02:07:12.323,4804,40.29,25
2023-03-01 02:07:12.526,4801,40.29,25
2023-03-01 02:07:12.744,4835,40.29,25
2023-03-01 02:07:12.947,4834,40.29,25
2023-03-01 02:07:13.151,4820,40.29,25
2023-03-01 02:07:13.369,4835,40.29,25
2023-03-01 02:07:13.572,4819,40.29,25
2023-03-01 02:07:13.791,4814,40.29,25
2023-03-01 02:07:14.010,4819,40.29,25
2023-03-01 02:07:14.213,4832,40.29,25
2023-03-01 02:07:14.416,4826,40.29,25
2023-03-01 02:07:14.635,4833,40.29,25
2023-03-01 02:07:14.807,4809,40.29,25
2023-03-01 02:07:15.025,4838,40.29,25
2023-03-01 02:07:15.213,4826,40.29,25
2023-03-01 02:07:15.416,4798,40.29,25
2023-03-01 02:07:15.619,4805,40.29,25
2023-03-01 02:07:15.822,4804,40.29,25
2023-03-01 02:07:16.041,4806,40.29,25
2023-03-01 02:07:16.244,4810,40.29,25
2023-03-01 02:07:16.463,4805,40.29,25
2023-03-01 02:07:16.666,4812,40.29,25
2023-03-01 02:07:16.869,4813,40.29,25
2023-03-01 02:07:17.088,4808,40.29,25
2023-03-01 02:07:17.291,4785,40.29,25
2023-03-01 02:07:17.494,4802,40.29,25
2023-03-01 02:07:17.713,4793,40.29,25
2023-03-01 02:07:17.931,4785,40.29,25
2023-03-01 02:07:18.135,4783,40.29,25
2023-03-01 02:07:18.338,4794,40.29,25
2023-03-01 02:07:18.556,4788,40.29,25
2023-03-01 02:07:18.728,4794,40.29,25
2023-03-01 02:07:18.931,4788,40.29,25
2023-03-01 02:07:19.135,4778,40.29,25
