rad;T;elevaz;;;
2984;40.29;40;;;
2996;40.29;40;;;
3001;40.29;40;;;
3020;40.29;40;;;
3022;40.29;40;;;
3037;40.29;40;;;
3024;40.29;40;;;
3031;40.29;40;;;
3040;40.29;40;;;
3074;40.29;40;;;
3069;40.29;40;;;
3053;40.26;40;;;
3048;40.29;40;;;
3046;40.29;40;;;
3056;40.26;40;;;
3050;40.26;40;;;
3054;40.26;40;;;
3035;40.26;40;;;
3065;40.26;40;;;
3050;40.26;40;;;
3048;40.26;40;;;
3038;40.26;40;;;
3086;40.26;40;;;
3064;40.26;40;;;
3066;40.26;40;;;
3093;40.26;40;;;
3089;40.26;40;;;
3087;40.26;40;;;
3086;40.26;40;;;
3074;40.26;40;;;
3084;40.26;40;;;
3066;40.22;40;;;
3057;40.22;40;;;
3072;40.22;40;;;
3075;40.22;40;;;
3046;40.22;40;;;
3033;40.22;40;;;
3036;40.22;40;;;
3042;40.22;40;;;
3033;40.22;40;;;
3028;40.22;40;;;
3034;40.22;40;;;
3046;40.22;40;;;
3039;40.22;40;;;
3040;40.22;40;;;
3047;40.22;40;;;
3053;40.22;40;;;
3056;40.22;40;;;
3030;40.22;40;;;
3016;40.22;40;;;
3012;40.22;40;;;
2998;40.22;40;;;
2981;40.22;40;;;
2993;40.22;40;;;
3015;40.22;40;;;
3022;40.22;40;;;
2998;40.22;40;;;
3020;40.22;40;;;
3004;40.22;40;;;
3013;40.22;40;;;
3015;40.22;40;;;
3028;40.22;40;;;
3025;40.22;40;;;
3044;40.22;40;;;
3034;40.22;40;;;
3031;40.22;40;;;
3043;40.22;40;;;
3030;40.22;40;;;
3041;40.22;40;;;
3016;40.22;40;;;
3005;40.22;40;;;
2983;40.22;40;;;
2986;40.22;40;;;
2986;40.22;40;;;
2979;40.22;40;;;
2979;40.22;40;;;
2969;40.22;40;;;
2976;40.22;40;;;
2972;40.22;40;;;
2969;40.22;40;;;
2974;40.26;40;;;
2976;40.26;40;;;
2983;40.26;40;;;
2992;40.26;40;;;
2963;40.26;40;;;
2995;40.26;40;;;
2989;40.26;40;;;
2988;40.26;40;;;
3009;40.26;40;;;
3014;40.26;40;;;
3016;40.26;40;;;
3005;40.26;40;;;
