data;ora;rad;T;elevazione;;;media;dev std;
19/01/2023;02:31:13.363;3657;40.22;20;;;;;
19/01/2023;02:31:13.571;3677;40.22;20;;;;;
19/01/2023;02:31:13.779;3667;40.22;20;;;;;
19/01/2023;02:31:13.988;3656;40.22;20;;;;;
19/01/2023;02:31:14.196;3660;40.22;20;;;;;
19/01/2023;02:31:14.409;3647;40.22;20;;;;;
19/01/2023;02:31:14.627;3650;40.22;20;;;;;
19/01/2023;02:31:14.837;3628;40.22;20;;;;;
19/01/2023;02:31:15.043;3642;40.22;20;;;;;
19/01/2023;02:31:15.253;3632;40.22;20;;;;;
19/01/2023;02:31:15.461;3635;40.22;20;;;;;
19/01/2023;02:31:15.668;3631;40.22;20;;;;;
19/01/2023;02:31:15.844;3617;40.22;20;;;;;
19/01/2023;02:31:16.053;3623;40.22;20;;;;;
19/01/2023;02:31:16.261;3625;40.22;20;;;;;
19/01/2023;02:31:16.468;3627;40.22;20;;;;;
19/01/2023;02:31:16.673;3626;40.22;20;;;;;
19/01/2023;02:31:16.869;3623;40.22;20;;;;;
19/01/2023;02:31:17.076;3644;40.22;20;;;;;
19/01/2023;02:31:17.284;3649;40.22;20;;;;;
19/01/2023;02:31:17.493;3653;40.22;20;;;;;
19/01/2023;02:31:17.701;3657;40.22;20;;;;;
19/01/2023;02:31:17.908;3644;40.22;20;;;;;
19/01/2023;02:31:18.118;3654;40.22;20;;;;;
19/01/2023;02:31:18.326;3649;40.22;20;;;;;
19/01/2023;02:31:18.532;3664;40.22;20;;;;;
19/01/2023;02:31:18.752;3652;40.22;20;;;;;
19/01/2023;02:31:18.965;3652;40.22;20;;;;;
19/01/2023;02:31:19.174;3658;40.22;20;;;;;
19/01/2023;02:31:19.383;3666;40.22;20;;;;;
19/01/2023;02:31:19.591;3679;40.22;20;;;;;
19/01/2023;02:31:19.799;3676;40.22;20;;;;;
19/01/2023;02:31:19.975;3694;40.22;20;;;;;
19/01/2023;02:31:20.182;3695;40.22;20;;;;;
19/01/2023;02:31:20.392;3703;40.22;20;;;;;
19/01/2023;02:31:20.593;3710;40.22;20;;;;;
19/01/2023;02:31:20.791;3693;40.22;20;;;;;
19/01/2023;02:31:21.000;3706;40.22;20;;;;;
19/01/2023;02:31:21.207;3706;40.22;20;;;;;
19/01/2023;02:31:21.416;3711;40.26;20;;;;;
19/01/2023;02:31:21.624;3720;40.26;20;;;;;
19/01/2023;02:31:21.831;3733;40.26;20;;;;;
19/01/2023;02:31:22.038;3722;40.26;20;;;;;
19/01/2023;02:31:22.249;3715;40.26;20;;;;;
19/01/2023;02:31:22.457;3711;40.26;20;;;;;
19/01/2023;02:31:22.664;3703;40.26;20;;;;;
19/01/2023;02:31:22.881;3702;40.26;20;;;;;
19/01/2023;02:31:23.097;3726;40.26;20;;;;;
19/01/2023;02:31:23.304;3723;40.26;20;;;;;
19/01/2023;02:31:23.513;3723;40.26;20;;;;;
19/01/2023;02:31:23.721;3732;40.26;20;;;;;
19/01/2023;02:31:23.898;3731;40.26;20;;;;;
19/01/2023;02:31:24.104;3730;40.26;20;;;;;
19/01/2023;02:31:24.314;3735;40.26;20;;;;;
19/01/2023;02:31:24.522;3753;40.26;20;;;;;
19/01/2023;02:31:24.730;3746;40.26;20;;;;;
19/01/2023;02:31:24.938;3755;40.26;20;;;;;
19/01/2023;02:31:25.131;3742;40.26;20;;;;;
19/01/2023;02:31:25.337;3751;40.26;20;;;;;
19/01/2023;02:31:25.546;3783;40.26;20;;;;;
19/01/2023;02:31:25.755;3772;40.26;20;;;;;
19/01/2023;02:31:25.963;3812;40.26;20;;;;;
19/01/2023;02:31:26.171;3820;40.26;20;;;;;
19/01/2023;02:31:26.378;3804;40.26;20;;;;;
19/01/2023;02:31:26.586;3821;40.26;20;;;;;
19/01/2023;02:31:26.796;3816;40.26;20;;;;;
19/01/2023;02:31:27.008;3814;40.26;20;;;;;
19/01/2023;02:31:27.225;3826;40.29;20;;;;;
19/01/2023;02:31:27.436;3813;40.26;20;;;;;
19/01/2023;02:31:27.643;3805;40.29;20;;;;;
19/01/2023;02:31:27.851;3813;40.29;20;;;;;
19/01/2023;02:31:28.027;3807;40.29;20;;;;;
19/01/2023;02:31:28.230;3793;40.29;20;;;;;
19/01/2023;02:31:28.428;3785;40.29;20;;;;;
19/01/2023;02:31:28.636;3761;40.29;20;;;;;
19/01/2023;02:31:28.844;3778;40.29;20;;;;;
19/01/2023;02:31:29.053;3758;40.29;20;;;;;
19/01/2023;02:31:29.260;3746;40.29;20;;;;;
19/01/2023;02:31:29.467;3762;40.29;20;;;;;
19/01/2023;02:31:29.676;3744;40.29;20;;;;;
19/01/2023;02:31:29.884;3734;40.29;20;;;;;
19/01/2023;02:31:30.093;3747;40.29;20;;;;;
19/01/2023;02:31:30.301;3721;40.29;20;;;;;
19/01/2023;02:31:30.509;3715;40.29;20;;;;;
19/01/2023;02:31:30.717;3723;40.29;20;;;;;
19/01/2023;02:31:30.926;3711;40.29;20;;;;;
19/01/2023;02:31:31.133;3704;40.29;20;;;;;
19/01/2023;02:31:31.350;3709;40.29;20;;;;;
19/01/2023;02:31:31.566;3706;40.29;20;;;;;
19/01/2023;02:31:31.772;3688;40.32;20;;;;;
19/01/2023;02:31:31.982;3672;40.32;20;;;;;
19/01/2023;02:31:32.150;3668;40.32;20;;;;;
19/01/2023;02:31:32.349;3662;40.32;20;;;;;
19/01/2023;02:31:32.558;3656;40.32;20;;;;;
19/01/2023;02:31:32.767;3668;40.32;20;;;;;
19/01/2023;02:31:32.974;3652;40.32;20;;;;;
19/01/2023;02:31:33.183;3645;40.32;20;;;;;
19/01/2023;02:31:33.390;3637;40.32;20;;;;;
19/01/2023;02:31:33.598;3621;40.32;20;;;;;
19/01/2023;02:31:33.806;3617;40.32;20;;;;;
19/01/2023;02:31:34.014;3614;40.32;20;;;;;
19/01/2023;02:31:34.222;3620;40.32;20;;;;;
19/01/2023;02:31:34.447;3620;40.32;20;;;;;
19/01/2023;02:31:34.639;3606;40.32;20;;;;;
19/01/2023;02:31:34.848;3602;40.32;20;;;;;
19/01/2023;02:31:35.054;3594;40.32;20;;;;;
19/01/2023;02:31:35.264;3605;40.35;20;;;;;
19/01/2023;02:31:35.472;3595;40.35;20;;;;;
19/01/2023;02:31:35.691;3599;40.35;20;;;;;
19/01/2023;02:31:35.904;3585;40.35;20;;;;;
19/01/2023;02:31:36.072;3596;40.35;20;;;;;
19/01/2023;02:31:36.273;3596;40.35;20;;;;;
19/01/2023;02:31:36.481;3599;40.35;20;;;;;
19/01/2023;02:31:36.689;3596;40.35;20;;;;;
19/01/2023;02:31:36.897;3578;40.35;20;;;;;
19/01/2023;02:31:37.104;3578;40.35;20;;;;;
19/01/2023;02:31:37.313;3587;40.35;20;;;;;
19/01/2023;02:31:37.522;3582;40.35;20;;;;;
19/01/2023;02:31:37.729;3605;40.35;20;;;;;
19/01/2023;02:31:37.932;3578;40.35;20;;;;;
19/01/2023;02:31:38.146;3588;40.35;20;;;;;
19/01/2023;02:31:38.354;3573;40.35;20;;;;;
19/01/2023;02:31:38.560;3588;40.35;20;;;;;
