               data_ora        rad  temperatura elevazione
2023-03-27 01:45:32.973 -31.002256        40.35         50
2023-03-27 01:45:33.180 -30.464067        40.35         50
2023-03-27 01:45:33.356 -31.220896        40.38         50
2023-03-27 01:45:33.558 -30.699525        40.38         50
2023-03-27 01:45:33.755 -30.581796        40.38         50
2023-03-27 01:45:33.965 -30.564978        40.38         50
2023-03-27 01:45:34.174 -30.548159        40.38         50
2023-03-27 01:45:34.382 -31.237714        40.35         50
2023-03-27 01:45:34.589 -31.271351        40.38         50
2023-03-27 01:45:34.796 -30.632251        40.38         50
2023-03-27 01:45:35.006 -30.245428        40.35         50
2023-03-27 01:45:35.223 -30.110881        40.35         50
2023-03-27 01:45:35.422 -29.942697        40.35         50
2023-03-27 01:45:35.631 -30.346338        40.35         50
2023-03-27 01:45:35.840 -30.480886        40.35         50
2023-03-27 01:45:36.062 -30.211791        40.35         50
2023-03-27 01:45:36.272 -30.228610        40.35         50
2023-03-27 01:45:36.478 -28.916774        40.35         50
2023-03-27 01:45:36.682 -28.496314        40.35         50
2023-03-27 01:45:36.896 -28.513132        40.35         50
2023-03-27 01:45:37.103 -28.698134        40.35         50
2023-03-27 01:45:37.279 -28.546769        40.35         50
2023-03-27 01:45:37.478 -28.109490        40.35         50
2023-03-27 01:45:37.680 -27.823577        40.35         50
2023-03-27 01:45:37.887 -27.941306        40.35         50
2023-03-27 01:45:38.097 -28.143127        40.35         50
2023-03-27 01:45:38.305 -28.513132        40.35         50
2023-03-27 01:45:38.513 -27.974943        40.35         50
2023-03-27 01:45:38.722 -28.479495        40.35         50
2023-03-27 01:45:38.930 -28.344948        40.35         50
2023-03-27 01:45:39.138 -27.958125        40.35         50
