rad;temperatura;elevazione;;;
3771;40.22;25;;;
3781;40.22;25;;;
3763;40.22;25;;;
3749;40.22;25;;;
3753;40.22;25;;;
3739;40.22;25;;;
3748;40.22;25;;;
3738;40.22;25;;;
3745;40.22;25;;;
3736;40.22;25;;;
3729;40.22;25;;;
3734;40.22;25;;;
3727;40.22;25;;;
3734;40.22;25;;;
3726;40.22;25;;;
3721;40.22;25;;;
3729;40.22;25;;;
3729;40.22;25;;;
3730;40.26;25;;;
3720;40.26;25;;;
3735;40.26;25;;;
3741;40.26;25;;;
3727;40.26;25;;;
3709;40.26;25;;;
3710;40.26;25;;;
3697;40.26;25;;;
3706;40.26;25;;;
3707;40.26;25;;;
3709;40.26;25;;;
3690;40.26;25;;;
3695;40.26;25;;;
3691;40.26;25;;;
3713;40.26;25;;;
3716;40.26;25;;;
3721;40.29;25;;;
3732;40.29;25;;;
3729;40.29;25;;;
3738;40.29;25;;;
3741;40.29;25;;;
3746;40.29;25;;;
3747;40.29;25;;;
3759;40.29;25;;;
3763;40.29;25;;;
3763;40.32;25;;;
3766;40.32;25;;;
3777;40.32;25;;;
3757;40.32;25;;;
3761;40.32;25;;;
3771;40.32;25;;;
3764;40.32;25;;;
3758;40.32;25;;;
3749;40.32;25;;;
3739;40.32;25;;;
3736;40.32;25;;;
3739;40.32;25;;;
3739;40.35;25;;;
3729;40.35;25;;;
3709;40.35;25;;;
3727;40.35;25;;;
3713;40.35;25;;;
3725;40.35;25;;;
3708;40.35;25;;;
3715;40.35;25;;;
3710;40.35;25;;;
3701;40.35;25;;;
3699;40.35;25;;;
3697;40.35;25;;;
3710;40.35;25;;;
3721;40.35;25;;;
3720;40.35;25;;;
3738;40.35;25;;;
3740;40.35;25;;;
3746;40.35;25;;;
3772;40.35;25;;;
3763;40.35;25;;;
3756;40.35;25;;;
3773;40.35;25;;;
3766;40.35;25;;;
3756;40.35;25;;;
3750;40.38;25;;;
3752;40.35;25;;;
3752;40.35;25;;;
3753;40.38;25;;;
3762;40.38;25;;;
3740;40.38;25;;;
3753;40.38;25;;;
3754;40.38;25;;;
3755;40.38;25;;;
3757;40.38;25;;;
3756;40.38;25;;;
3762;40.38;25;;;
3761;40.38;25;;;
3767;40.38;25;;;
3763;40.38;25;;;
3769;40.38;25;;;
3766;40.38;25;;;
3753;40.38;25;;;
3752;40.38;25;;;
3754;40.38;25;;;
3748;40.38;25;;;
3775;40.38;25;;;
3754;40.38;25;;;
3776;40.38;25;;;
3757;40.38;25;;;
3762;40.38;25;;;
3747;40.38;25;;;
3764;40.38;25;;;
3752;40.38;25;;;
3749;40.38;25;;;
3751;40.38;25;;;
3781;40.38;25;;;
3784;40.38;25;;;
3788;40.38;25;;;
3793;40.38;25;;;
3801;40.38;25;;;
3795;40.38;25;;;
3781;40.38;25;;;
3766;40.38;25;;;
3775;40.38;25;;;
3745;40.38;25;;;
3748;40.38;25;;;
3769;40.38;25;;;
3733;40.38;25;;;
3748;40.38;25;;;
3751;40.38;25;;;
3739;40.38;25;;;
3721;40.38;25;;;
3717;40.38;25;;;
3725;40.38;25;;;
3730;40.38;25;;;
3729;40.38;25;;;
3718;40.38;25;;;
